Raccomandabilità,Accoglienza,Esperienza d'acquisto,Esperienza consegna,Test Drive,Qualità esperienza test drive,Overall complessivo generale,Note cliente
10,10,10,10,Non necessario,,10,Pienamente soddisfatto sia della vettura che del trattamento e del servizio del personale. Complimenti
10,10,10,10,Si,10.0,10,Dare un aumento ad *** ***! Competente e professionale
10,9,10,10,Non necessario,,10,"I miei complimenti ad ***, ottimo venditore.... Intuitivo nella trattativa 🔝. Cordiali saluti ***"
9,9,9,9,Si,9.0,9,Sono bellissimi tutti simpatici mi piace tantissimo
10,10,10,10,Non necessario,,10,Tutto bene grazie
10,10,9,10,No,,9,Non mi è stato proposto il regalo
10,10,10,10,Si,10.0,10,Nulla di particolare da segnalare... Soddisfattissimo!
10,10,10,10,No,,10,"La sig.ra *** è stata davvero gentile e competente nel suo lavoro 🔝🔝 Mi sono trovata benissimo, non sempre si trova personale gentile ed educato come Lei Voto 10 e Lode Grazie di cuore"
10,10,10,10,Si,10.0,10,"Grazie ***, mi sono trovato bene Kia Picanto con cambio automatico senza stress e basso consumo! Da ***"
9,9,3,2,Non necessario,,9,"Il personale di consegna non è competente. Alle varie domande sulla funzionalità non ha risposto e, candidamente, ha detto che si occupa di Mercedes. Mi aspettavo un portachiavi originale BMW. Competente il personale della Reception che ci ha aiutatato an"
9,9,9,9,Si,9.0,9,Mi aspettavo un po' più di formazione sull'auto venduta tutto il resto ok
10,10,10,10,Non necessario,,10,Molto soddisfatto
10,10,10,10,Si,10.0,10,Tutti molto gentili e competenti nulla da aggiungere. Ancora grazie La mia macchina è  un gioiellino
10,10,10,10,Si,10.0,10,La professionalità e la passione del team di Autotorino vanno ben oltre la media. In particolare ringrazio *** e *** che sia durante la fase di acquisto che durante la consegna dell'auto hanno saputo rispondere ad ogni mia esigenza.
9,10,8,9,Si,9.0,8,"Non mi è stato proposto l'acquisto dell'auto  con finanziamento senza assicurazione ,il venditore mi ha detto che non si può fare"
10,10,10,10,Si,10.0,10,"Meritano una menzione particolare: *** (sempre molto disponibile e puntuale nelle risposte), *** (si è prodigata per soddisfare le mie esigenze di consegna rapida dell’autovettura), l’addetta alla reception/accoglienza (della quale non"
10,10,10,10,Si,10.0,10,Semplicemente fantastici Mi hanno aiutato sotto qualsiasi aspetto Super cordiali e disponili Sono estremamente soddisfatto sia dell’acquisto che del rapporto umano instaurato con loro durante la fase di acquisto
8,10,7,9,Si,10.0,8,Più trasparenza in fase pre contrattuale
10,10,9,7,No,,9,Avrei desiderato avere piu’ chiarezza nei tempi di attesa grazie
10,10,10,9,No,,9,"Se possibile, ridurre un pó i tempi di attesa nel giorno in cui viene consegnata la nuova auto."
10,10,10,10,Non necessario,,10,Servizio ottimo
10,9,10,9,No,,10,"No, non mi è stato proposto nessun omaggio dall'azienda agricola la florida, peccato 😔"
10,10,10,10,Non necessario,,10,VOLEVO FARE I COMPLIMENTI A TUTTO LO STAFF DELLA FILIALE DI TAVERNERIO PER TUTTO IL SUPPORTO DATOMI SIA IN FASE DI TRATTATIVA CHE IN FASE BUROCRATICA CHE IN FASE DI SPIEGAZIONE DEL MEZZO.
10,10,10,10,Non necessario,,10,"Quando siamo entrati in concessionaria siamo stati accolti molto bene!! Bravissimo ***, ragazzo preparato e disponibile siamo rimasti soddisfatti. Autotorino Verbania"
10,9,10,10,Non necessario,,10,Veramente non ho ricevuto niente.
10,10,10,10,Si,10.0,10,"Tutto Egregiamente Eccellente, dall' inizio alla fine."
9,9,10,10,No,,9,Non condivido il dover pagare un abbonamento per gestire alcune funzionalità da remoto. Mancanza di luci interne nella parte posteriore. Mancanza di luci su tasti portiera (soprattutto blocco e sblocco portiere) Mancanza di presa USB (ci sono 2 porte solo
10,10,10,10,No,,10,"Complessivamente esperienza soddisfacente, certo da un brand come Mercedes non che ci aspettassimo diverso, tuttavia non è sempre una equazione esatta; probabile torneremo per ulteriori trattative; bene la relazione con il commerciale *** e il backo"
9,10,8,8,Non necessario,,8,Purtroppo nel mio caso mi è stata consegnata un auto senza fusibili (non potendo così usare il GPL) e senza libretto di istruzioni. Per risolvere il problema mi sono mosso in autonomia anche successivamente sono stato poi contattato dall'officina. Il vend
10,10,10,10,No,,10,E andato tutto molto perfettamente perciò non devo suggerire nulla e tanto meno commentare se non dire che *** disponibilissimo
9,9,9,9,Non necessario,,9,MI SPIECE SOLO CHE DOPO DUE GIORNI LA MIA X5 SIA IN OFFICINA PER UN GUASTO CON PERDITA OLIO
10,10,10,10,Si,10.0,10,"Ho potuto trattare direttamente l’acquisto della mia bmw con il direttore della vs filiale di Parma, ***. In lui ho trovato disponibilità, competenza e molta gentilezza, oltre che un trattamento economico molto buono. Anche durante la fase"
10,10,10,10,Si,10.0,10,Tutto ok
10,10,10,10,No,,10,Per precisare non mi è stata proposta la prova su strada poiché ho comunicato al commerciale che avevo già provato la moto in un’altra concessionaria
10,9,10,10,Si,10.0,10,Soddisfatta dell acquisto effettuato e della disponibilità e gentilezza del personale di riferimento. Per ora tutto ok.Unica cosa ho trovato il parcheggio clienti spesso intasato da auto e difficoltoso l utilizzo
10,10,10,10,No,,10,Nessuno tutto ok
10,10,10,10,Si,10.0,10,Personale qualificato e professionale
5,9,9,9,No,,5,"Purtroppo, avendomi voi informato che la promozione si concludeva a settembre  mi sono affrettato ad acquistare la vettura CHR pagando con bonifico istantaneo e con il ritiro del mio usato Toyota Yaris Cross. Volendomi tenere anche la mia ho chiesto se po"
8,8,10,10,Non necessario,,8,Concessionaria al top con tutto.
10,10,10,10,Si,10.0,10,Nulla da aggiungere siete perfetti così (come da me già espresso in precedente recensione)
10,10,10,10,Si,10.0,10,"Nulla da dire,continuate così!"
1,9,1,1,Si,9.0,4,Non ho ricevuto omaggi. Le tempistiche di consegna non sono state rispettate. Oltre un mese per un auto pronta consegna arrivata in filiale dopo 6 gg dall’ordine. Consegnata con dei piccoli difetti di carrozzeria nonostante mi era stato garantito non ci
10,10,10,10,Non necessario,,10,"Apprezzo l'idea dell'omagggio, ma al momento non era disponibile ..."
10,10,10,10,,,10,"Non saprei cosa suggerire, in Autotorino sembra tutto perfetto: Consulenti gentilissimi, organizzazione eccellente, tempi di attesa quasi inesistenti. Complimenti Autotorino, siete una bella squadra!"
9,9,9,9,No,,9,Sono vostro cliente Ho già acquistato due veicoli Una moto presso concessionaria di Olgiate Olona e autovettura presso Saronno Venditori cortesi e competenti Servizio professionale Per me esperienza assolutamente positiva
9,9,9,9,No,,9,"Un plauso alle consulenti consegne *** e *** (l'auto è stata acquistata a distanza presso la filiale di Susegana e ritirata a Crema), gentilissime e sempre rintracciabili telefonicamente. Il venditore ***, per converso,"
9,10,9,5,No,,9,"Al ritiro della nuova Auto , le spiegazioni sono state molto superficiali e veloci non consone ad un ambiente prestigioso."
10,10,10,10,,,10,"Chi ha seguito il mio acquisto è stato il Signor. ***, è stato molto professionale e super disponibile in tutto."
10,10,10,10,Non necessario,,10,"Tutto il personale è stato davvero molto disponibile, cortese e professionale. Ottima scelta essermi affidato a voi."
10,10,10,10,Non necessario,,10,Siete il Top grazie a voi
